53,ZUMA,2018,2018-01-08T01:00:00.000Z,falcon9,Falcon 9,FT,Cape Canaveral Air Force Station Space Launch Complex 40,True,
54,SES-16 / GovSat-1,2018,2018-01-31T21:25:00.000Z,falcon9,Falcon 9,FT,Cape Canaveral Air Force Station Space Launch Complex 40,True,
56,Paz / Starlink Demo,2018,2018-02-22T14:17:00.000Z,falcon9,Falcon 9,FT,Vandenberg Air Force Base Space Launch Complex 4E,True,
57,Hispasat 30W-6,2018,2018-03-06T05:33:00.000Z,falcon9,Falcon 9,FT,Cape Canaveral Air Force Station Space Launch Complex 40,True,
58,Iridium NEXT Mission 5,2018,2018-03-30T14:13:51.000Z,falcon9,Falcon 9,FT,Vandenberg Air Force Base Space Launch Complex 4E,True,
59,CRS-14,2018,2018-04-02T20:30:41.000Z,falcon9,Falcon 9,FT,Cape Canaveral Air Force Station Space Launch Complex 40,True,
60,TESS,2018,2018-04-18T22:51:00.000Z,falcon9,Falcon 9,FT,Cape Canaveral Air Force Station Space Launch Complex 40,True,
61,Bangabandhu-1,2018,2018-05-11T20:14:00.000Z,falcon9,Falcon 9,FT,Kennedy Space Center Historic Launch Complex 39A,True,
62,Iridium NEXT Mission 6,2018,2018-05-22T19:47:58.000Z,falcon9,Falcon 9,FT,Vandenberg Air Force Base Space Launch Complex 4E,True,
63,SES-12,2018,2018-06-04T04:45:00.000Z,falcon9,Falcon 9,FT,Cape Canaveral Air Force Station Space Launch Complex 40,True,
64,CRS-15,2018,2018-06-29T09:42:00.000Z,falcon9,Falcon 9,FT,Cape Canaveral Air Force Station Space Launch Complex 40,True,
65,Telstar 19V,2018,2018-07-22T05:50:00.000Z,falcon9,Falcon 9,FT,Cape Canaveral Air Force Station Space Launch Complex 40,True,
66,Iridium NEXT Mission 7,2018,2018-07-25T11:39:26.000Z,falcon9,Falcon 9,FT,Vandenberg Air Force Base Space Launch Complex 4E,True,
67,Merah Putih,2018,2018-08-07T05:18:00.000Z,falcon9,Falcon 9,FT,Cape Canaveral Air Force Station Space Launch Complex 40,True,
68,Telstar 18V,2018,2018-09-10T04:45:00.000Z,falcon9,Falcon 9,FT,Cape Canaveral Air Force Station Space Launch Complex 40,True,
69,SAOCOM 1A,2018,2018-10-08T02:22:00.000Z,falcon9,Falcon 9,FT,Vandenberg Air Force Base Space Launch Complex 4E,True,
70,Esâ€™hail 2,2018,2018-11-15T20:46:00.000Z,falcon9,Falcon 9,FT,Kennedy Space Center Historic Launch Complex 39A,True,
71,SSO-A,2018,2018-12-03T18:34:00.000Z,falcon9,Falcon 9,FT,Vandenberg Air Force Base Space Launch Complex 4E,True,
72,CRS-16,2018,2018-12-05T18:16:00.000Z,falcon9,Falcon 9,FT,Cape Canaveral Air Force Station Space Launch Complex 40,True,
73,GPS III SV01,2018,2018-12-23T13:51:00.000Z,falcon9,Falcon 9,FT,Cape Canaveral Air Force Station Space Launch Complex 40,True,
